Frequency Gain delGain
x10^4Hz X10^4	x10^4
0.001	8.1694	0.1513
0.002	9.2284	1.059
0.003	9.6677	0.7553
0.004	9.3122	0.5291
0.005	9.7354	1.3228
0.006	9.2063	0.7407
0.007	9.1005	0.7937
0.008	9.3122	0.7937
0.009	9.3122	0.8995
0.0102	9.3122	0.8466
0.011	9.1005	0.8466
0.0121	9.1005	0.8466
0.013	9.1005	0.9524
0.0141	9.2063	0.7407
0.0152	9.1005	0.8466
0.0159	8.8889	0.9524
0.017	9.1005	0.8466
0.018	8.9947	0.7407
0.019	8.8889	0.8466
0.02	8.7831	1.0582
0.0223	8.8889	0.9524
0.0254	8.9947	0.7407
0.03	8.8889	0.2646
0.04	8.5714	0.5291
0.0507	8.4656	0.7407
0.0601	8.0423	0.7407
0.07	7.9365	0.3175
0.08	7.3016	0.2646
0.09	6.7725	0.2116
0.0999	6.3492	0.2646
0.11	5.7143	0.2646
0.12	5.291	0.2646
0.13	5.037	0.2646
0.14	4.6809	0.1596
0.15	4.3598	0.1587
0.16	4.0426	0.1596
0.17	3.7249	0.1587
0.18	3.5132	0.1587
0.19	3.2766	0.1596
0.2	3.1064	0.1596
0.225	2.6243	0.1058
0.25	2.2646	0.1058
0.275	2.0213	0.1064
0.3	1.7021	0.1064
0.35	1.285	0.1036
0.4	1.0259	0.1036
0.6	0.4984	0.0524
0.7	0.3565	0.0518
0.8	0.2687	0.0521
0.9	0.2259	0.0259
1	0.1803	0.0016
1.1	0.1492	0.0016
1.2	0.125	0.0052
1.3	0.1187	0.0052
1.4	0.0958	0.0052
1.5	0.0901	0.0052
